name,img,requiredItem
GRANDMASTER_FELINE_TROUSERS,https://vignette.wikia.nocookie.net/witcher/images/f/fe/Tw3_armor_lynx_pants_5.png/revision/latest/?cb=20160531131552,"1x MASTERCRAFTED_FELINE_TROUSERS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_PLATE
2x MONSTER_TONGUE
2x MONSTER_BLOOD"
GRANDMASTER_FELINE_BOOTS,https://vignette.wikia.nocookie.net/witcher/images/0/01/Tw3_armor_lynx_boots_lvl5.png/revision/latest/?cb=20160531133658,"1x MASTERCRAFTED_FELINE_BOOTS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_PLATE
2x MONSTER_BONE
4x MONSTER_CLAW"
GRANDMASTER_FELINE_ARMOR,https://vignette.wikia.nocookie.net/witcher/images/5/5b/Tw3_grandmaster_feline_armor.png/revision/latest/?cb=20170312174012,"1x MASTERCRAFTED_FELINE_ARMOR
2x INFUSED_SLYZARD_HIDE
2x ENRICHED_DIMERITIUM_PLATE
2x MONSTER_LIVER
2x MONSTER_HEART"
GRANDMASTER_FELINE_GAUNTLETS,https://vignette.wikia.nocookie.net/witcher/images/d/de/Tw3_armor_lynx_gloves_lvl5.png/revision/latest/?cb=20160531133625,"1x MASTERCRAFTED_FELINE_GAUNTLETS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_INGOT
2x MONSTER_BONE
1x POWDERED_MONSTER_TISSUE"
GRANDMASTER_WOLVEN_ARMOR,https://vignette.wikia.nocookie.net/witcher/images/2/2e/Tw3_armor_wolf_armor_lvl5.png/revision/latest/?cb=20160531124837,"1x MASTERCRAFTED_WOLVEN_ARMOR
2x INFUSED_SLYZARD_HIDE
2x ENRICHED_DIMERITIUM_PLATE
1x MONSTER_HEART
1x MONSTER_STOMACH"
GRANDMASTER_WOLVEN_BOOTS,https://vignette.wikia.nocookie.net/witcher/images/c/c5/Tw3_armor_wolf_boots_lvl5.png/revision/latest/?cb=20160531124854,"1x MASTERCRAFTED_WOLVEN_BOOTS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_PLATE
4x MONSTER_BLOOD
2x MONSTER_HEART"
GRANDMASTER_WOLVEN_GAUNTLETS,https://vignette.wikia.nocookie.net/witcher/images/4/49/Tw3_armor_wolf_gloves_lvl5.png/revision/latest/?cb=20160531124934,"1x MASTERCRAFTED_WOLVEN_GAUNTLETS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_INGOT
2x POWDERED_MONSTER_TISSUE
1x MONSTER_HEART"
GRANDMASTER_WOLVEN_TROUSERS,https://vignette.wikia.nocookie.net/witcher/images/5/5e/Tw3_armor_bear_pants_lvl5.png/revision/latest/?cb=20160531141433,"1x MASTERCRAFTED_WOLVEN_TROUSERS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_PLATE
2x MONSTER_BLOOD
2x MONSTER_HEART"
MANTICORE_ARMOR,https://vignette.wikia.nocookie.net/witcher/images/f/f5/Tw3_armor_red_wolf_armor_1.png/revision/latest/?cb=20160531131930,"1x CURED_DRACONID_LEATHER
2x DIMERITIUM_PLATE
2x MONSTER_EAR
2x MONSTER_EYE"
MANTICORE_BOOTS,https://vignette.wikia.nocookie.net/witcher/images/7/71/Tw3_armor_red_wolf_boots_1.png/revision/latest/?cb=20160531132231,"1x CURED_DRACONID_LEATHER
1x DIMERITIUM_PLATE
4x MONSTER_CLAW
2x MONSTER_BLOOD"
MANTICORE_GAUNTLETS,https://vignette.wikia.nocookie.net/witcher/images/9/9c/Tw3_armor_red_wolf_gloves_1.png/revision/latest/?cb=20160531130841,"1x CURED_DRACONID_LEATHER
1x METEORITE_SILVER_PLATE
1x MONSTER_HAIR
1x MONSTER_BLOOD"
MANTICORE_TROUSERS,https://vignette.wikia.nocookie.net/witcher/images/c/cf/Tw3_armor_red_wolf_pants_1.png/revision/latest/?cb=20160531130950,"1x CURED_DRACONID_LEATHER
1x DIMERITIUM_INGOT
1x MONSTER_CLAW
2x MONSTER_BLOOD"
GRANDMASTER_URSINE_ARMOR,https://vignette.wikia.nocookie.net/witcher/images/0/0a/Tw3_armor_bear_armor_4.png/revision/latest/?cb=20160531143958,"1x MASTERCRAFTED_URSINE_ARMOR
2x INFUSED_SLYZARD_HIDE
2x ENRICHED_DIMERITIUM_PLATE
1x MONSTER_ESSENCE
1x MONSTER_HEART"
GRANDMASTER_URSINE_GAUNTLETS,https://vignette.wikia.nocookie.net/witcher/images/3/3f/Tw3_armor_bear_gloves_lvl5.png/revision/latest/?cb=20160531144130,"1x MASTERCRAFTED_URSINE_GAUNTLETS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_INGOT
2x MONSTER_CLAW
1x POWDERED_MONSTER_TISSUE"
GRANDMASTER_URSINE_TROUSERS,https://vignette.wikia.nocookie.net/witcher/images/5/5e/Tw3_armor_bear_pants_lvl5.png/revision/latest/?cb=20160531141433,"1x MASTERCRAFTED_URSINE_TROUSERS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_PLATE
2x MONSTER_ESSENCE
2x MONSTER_HAIR"
GRANDMASTER_URSINE_BOOTS,https://vignette.wikia.nocookie.net/witcher/images/4/4c/Tw3_armor_bear_boots_lvl5.png/revision/latest/?cb=20160531144023,"1x MASTERCRAFTED_URSINE_BOOTS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_PLATE
3x MONSTER_SALIVA
3x MONSTER_TOOTH"
GRANDMASTER_GRIFFIN_ARMOR,https://vignette.wikia.nocookie.net/witcher/images/1/15/Tw3_griffin_armor_grandmaster.png/revision/latest/?cb=20170322135938,"1x MASTERCRAFTED_GRIFFIN_ARMOR
2x INFUSED_SLYZARD_HIDE
2x ENRICHED_DIMERITIUM_PLATE
2x MONSTER_HEART
1x MONSTER_ESSENCE"
GRANDMASTER_GRIFFIN_GAUNTLETS,https://vignette.wikia.nocookie.net/witcher/images/1/1c/Tw3_armor_gryphon_gloves_lvl5.png/revision/latest/?cb=20160531143655,"1x MASTERCRAFTED_GRIFFIN_GAUNTLETS
1x INFUSED_SLYZARD_HIDE
1x ENRICHED_DIMERITIUM_INGOT
1x MONSTER_HEART
2x MONSTER_BLOOD"
